Aboa Station Antartica;AUTRE;882;;D;;5;456
Açores (Portugal);FIXE;351;+9;B;6;20;102
Afghanistan (+);FIXE;93;+14,5;;9;;53;48;43;39
Afghanistan (+);MOBILE;93;+14,5;;9;;53;48;43;39
Afrique du Sud;FIXE;27;+12;C;9;15;137;36;31;26;22
Afrique du Sud;MOBILE;27;+12;C;9;15;153;52;47;42;38
Alaska;FIXE;1;+1;C;9;15;137
Albanie;FIXE;355;+11;C;6;15;137;38;33;28;24
Albanie;MOBILE;355;+11;C;6;15;153;53;48;43;39
Algérie;FIXE;213;+10;C;5;15;137;45;40;35;31
Algérie;MOBILE;213;+10;C;5;15;153;50;45;40;36
Allemagne;FIXE;49;+11;B;6;20;102;31;26;21;17
Allemagne;MOBILE;49;+11;B;6;20;119;57;52;47;43
Andorre (Principauté d');FIXE;376;+11;A;4;30;68;34;29;24;20
Andorre (Principauté d');MOBILE;376;+11;A;4;30;85;61;56;51;47
Angola;FIXE;244;+11;C;9;15;137;49;44;39;35
Angola;MOBILE;244;+11;C;9;15;153;54;49;44;40
Anguilla;FIXE;1264;+5;C;9;15;137;44;39;34;30
Anguilla;MOBILE;1264;+5;C;9;15;153;56;51;46;42
Antartica;FIXE;672;;B;;20;102;85;80;75;71
Antartiea;MOBILE;672;;B;;20;119;85;80;75;71
Antigua & Barbuda;FIXE;1268;+5;C;9;15;137;43;38;33;29
Antigua & Barbuda;MOBILE;1268;+5;C;9;15;153;43;38;33;29
Antilles Néerlandaises;FIXE;599;+5;C;9;15;137;42;37;32;28
Antilles Néedandaises;MOBILE;599;+5;C;9;15;153;48;43;38;34
Arabie Sacudite;FIXE;966;+13;C;9;15;137;49;44;39;35
Arabie Saoudite;MOBILE;966;+13;C;9;15;153;51;46;41;37
Argentine;FIXE;54;+7;C;8;15;137;34;29;24;20
Argentine;MOBILE;54;+7;C;8;15;153;50;45;40;36
Arménie;FIXE;374;+14;C;6;15;137;39;34;29;25
Arménie;MOBILE;374;+14;C;6;15;153;57;52;47;43
Aruba;FIXE;297;+5;C;9;15;137;42;37;32;28
Aruba;MOBILE;297;+5;C;9;15;153;50;45;40;36
Ascension Iles;FIXE;247;+10;C;9;15;137;129;124;119;115
Ascension Iles;MOBILE;247;+10;C;9;15;153;129;124;119;115
Australie;FIXE;61;+18;A;2;30;68;32;27;22;18
