name,destination,rate
Afghanistan,93,0.3104
Afghanistan,937,0.3677
Afghanistan - Mobile/Special Services,9370,0.3196
Afghanistan - Mobile/Special Services,9379,0.3196
Albania,355,0.1007
Albania,3554,0.1137
Albania - Mobile/Special Services,35538,0.2705
Albania - Mobile/Special Services,35568,0.2638
Albania - Mobile/Special Services,35569,0.2638
Algeria,213,0.1581
Algeria,2131,0.2032
Algeria,21321,0.1758
Algeria,2136,0.2032
Algeria,21363,0.1828
Algeria,21364,0.1828
Algeria,2139,0.1935
Algeria,21390,0.2032
Algeria,21391,0.2032
Algeria,21392,0.2032
Algeria,21393,0.2032
Algeria - Mobile/Special Services,2135,0.1611
Algeria - Mobile/Special Services,21361,0.1828
Algeria - Mobile/Special Services,21362,0.1828
Algeria - Mobile/Special Services,2137,0.1935
American Samoa,1684,0.0976
American Samoa - Mobile/Special Services,16842,0.0887
Andorra,376,0.0475
Andorra - Mobile/Special Services,3763,0.3435
Andorra - Mobile/Special Services,3764,0.3435
Andorra - Mobile/Special Services,3766,0.3435
Angola,244,0.1711
Angola - Mobile/Special Services,2449,0.2278
Anguilla,1264,0.1025
Anguilla,1264555,1.0401
Anguilla,1264581,0.2874
Anguilla,1264582,0.2874
Anguilla,1264583,0.2874
Anguilla,1264584,0.2874
Anguilla,1264724,0.2874
Anguilla - Mobile/Special Services,1264235,0.2874
Anguilla - Mobile/Special Services,1264469,0.2874
Anguilla - Mobile/Special Services,1264476,0.2874
Anguilla - Mobile/Special Services,1264729,0.2874
Anguilla - Mobile/Special Services,1264772,0.2874
Antarctica,672,1.1051
Antarctica,67211,1.1051
Antarctica,67212,1.1051
Antarctica,6722,1.1051
Antarctica,6724,1.1051
Antigua,1268,0.1502
Antigua,1268222,0.1885
Antigua,1268268,0.1885
Antigua,1268404,0.1716
Antigua,1268480,0.1885
Antigua,1268481,0.1885
Antigua,1268555,0.1885
Antigua,126872,0.1716
Antigua,1268772,0.1716
Antigua,1268779,0.1716
Antigua,1268780,0.1716
Antigua,1268938,0.1716
Antigua - Mobile/Special Services,1268406,0.1716
Antigua - Mobile/Special Services,1268409,0.1716
Antigua - Mobile/Special Services,1268464,0.1716
Antigua - Mobile/Special Services,1268723,0.1885
Antigua - Mobile/Special Services,1268724,0.1885
Antigua - Mobile/Special Services,1268725,0.1885
Antigua - Mobile/Special Services,1268726,0.1885
Antigua - Mobile/Special Services,1268727,0.1885
Antigua - Mobile/Special Services,1268728,0.1885
Antigua - Mobile/Special Services,1268729,0.1885
Antigua - Mobile/Special Services,1268739,0.1716
Antigua - Mobile/Special Services,1268764,0.1716
Antigua - Mobile/Special Services,1268770,0.1716
Antigua - Mobile/Special Services,1268771,0.1716
Antigua - Mobile/Special Services,1268773,0.1716
Antigua - Mobile/Special Services,1268774,0.1716
Antigua - Mobile/Special Services,1268775,0.1716
Argentina,54,0.0227
Argentina,54221,0.02
Argentina,54261,0.02
Argentina,54341,0.02
Argentina,54351,0.02
Argentina,54387,0.0201
Argentina - Buenos Aires,5411,0.02
Argentina - Mobile/Special Services,549,0.0973
Argentina - Mobile/Special Services,54911,0.2256
Armenia,374,0.1007
Armenia - Mobile/Special Services,3747,0.2285
Armenia - Mobile/Special Services,3749,0.2285
Armenia - Yerevan,3741,0.0456
Aruba,297,0.1362
Aruba,2971,0.2321
Aruba,297800,0.2321
Aruba - Mobile/Special Services,297127,0.2321
Aruba - Mobile/Special Services,29756,0.2321
Aruba - Mobile/Special Services,29759,0.2321
Aruba - Mobile/Special Services,2976,0.2762
Aruba - Mobile/Special Services,29773,0.2321
Aruba - Mobile/Special Services,29774,0.2321
Aruba - Mobile/Special Services,2979,0.2762
Aruba - Mobile/Special Services,297900,0.2321
Aruba - Mobile/Special Services,29791,0.2321
Aruba - Mobile/Special Services,29796,0.2321
Aruba - Mobile/Special Services,29799,0.2321
Aruba - Mobile/Special Services,297990,0.2321
Aruba - Mobile/Special Services,297992,0.2321
Aruba - Mobile/Special Services,297993,0.2321
Aruba - Mobile/Special Services,297994,0.2321
Aruba - Mobile/Special Services,297995,0.2321
